LocationID,Borough,Zone,service_zone,search,latitude,longitude
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island,  New York NYC",40.700304,-74.041134
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island,  New York NYC",40.700304,-74.041134
106,Brooklyn,Gowanus,Boro Zone,"Gowanus,  New York NYC",40.6791695,-73.9885041
107,Manhattan,Gramercy,Yellow Zone,"Gramercy,  New York NYC",40.7355189,-73.9840794
108,Brooklyn,Gravesend,Boro Zone,"Gravesend,  New York NYC",40.5961338,-73.9739426
109,Staten Island,Great Kills,Boro Zone,"Great Kills,  New York NYC",40.5542718,-74.1515318
110,Staten Island,Great Kills Park,Boro Zone,"Great Kills Park,  New York NYC",40.55614525,-74.10845705
111,Brooklyn,Green-Wood Cemetery,Boro Zone,"Green-Wood Cemetery,  New York NYC",40.65220295,-73.99107393
112,Brooklyn,Greenpoint,Boro Zone,"Greenpoint,  New York NYC",40.7237134,-73.9509714
113,Manhattan,Greenwich Village North,Yellow Zone,"Greenwich Village North,  New York NYC",40.7319802,-73.9965658
114,Manhattan,Greenwich Village South,Yellow Zone,"Greenwich Village South,  New York NYC",40.7319802,-73.9965658
115,Staten Island,Grymes Hill/Clifton,Boro Zone,"Grymes Hill/Clifton,  New York NYC",40.6187152,-74.0934751
116,Manhattan,Hamilton Heights,Boro Zone,"Hamilton Heights,  New York NYC",40.8241451,-73.9500618
117,Queens,Hammels/Arverne,Boro Zone,"Hammels/Arverne,  New York NYC",40.5913241,-73.8079742
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,"Heartland Village/Todt Hill,  New York NYC",40.5883333,-74.1577778
119,Bronx,Highbridge,Boro Zone,"Highbridge,  New York NYC",40.8460552,-73.92973293
120,Manhattan,Highbridge Park,Boro Zone,"Highbridge Park,  New York NYC",40.8460552,-73.92973293
121,Queens,Hillcrest/Pomonok,Boro Zone,"Hillcrest/Pomonok,  New York NYC",40.7324478,-73.80883094
122,Queens,Hollis,Boro Zone,"Hollis,  New York NYC",40.7134361,-73.7670772
123,Brooklyn,Homecrest,Boro Zone,"Homecrest,  New York NYC",40.58611335,-73.95731015
124,Queens,Howard Beach,Boro Zone,"Howard Beach,  New York NYC",40.6578815,-73.8362459
125,Manhattan,Hudson Sq,Yellow Zone,"Hudson Sq,  New York NYC",40.7268035,-74.0079833
126,Bronx,Hunts Point,Boro Zone,"Hunts Point,  New York NYC",40.8126008,-73.8840247
127,Manhattan,Inwood,Boro Zone,"Inwood,  New York NYC",40.8692579,-73.9204949
